rank,player,points,avatar
1,Ghhhosto,131.5,https://www.speedrun.com/static/user/jm7w1poj/image?v=d0f58e1
2,iLL_Pazzo,120.0,https://www.speedrun.com/static/user/8vkonmnj/image?v=653867c
3,Tots,110.0,https://www.speedrun.com/static/user/81pr4g58/image?v=7680089
4,Qurin,84.0,https://www.speedrun.com/static/user/dx3o1p6x/image?v=47c0b3c
5,moon0707,70.0,
6,MythicCheese,35.0,https://www.speedrun.com/static/user/jn35w02x/image?v=6da32e9
7,IvanTheSlowRunner,26.0,
8,t_d_pagey,23.4,
9,bentastic7777,16.2,https://www.speedrun.com/static/user/x3wwem6j/image?v=2d1fe7c
10,Leoninrus_Emligan,10.8,https://www.speedrun.com/static/user/814rnrl8/image?v=31146e2
11,LouLouCore,7.2,https://www.speedrun.com/static/user/v8l03548/image?v=00ace0c
12,Soulslayer434,5.4,https://www.speedrun.com/static/user/1xyrzvnj/image?v=64f497f
13,alice_3589,3.6,https://www.speedrun.com/static/user/jon63e08/image?v=f2dc316
