rank,player,points,avatar
1,JustRezzie,430.0,http://www.speedrun.com/static/user/7j42newx/image?v=23e48a6
2,PrimePug,133.5,http://www.speedrun.com/static/user/jmlo59y8/image?v=c3c1492
3,Ghhhosto,119.0,http://www.speedrun.com/static/user/jm7w1poj/image?v=d0f58e1
4,M36z,105.0,http://www.speedrun.com/static/user/x36ln0qx/image?v=e6000ea
5,iLL_Pazzo,99.0,http://www.speedrun.com/static/user/8vkonmnj/image?v=653867c
6,MythicCheese,88.0,http://www.speedrun.com/static/user/jn35w02x/image?v=6da32e9
7,XiwiX,37.5,http://www.speedrun.com/static/user/jo2dkk38/image?v=5d1ca61
8,Ravirixx,35.0,http://www.speedrun.com/static/user/8gmm9w18/image?v=81e3639
9,vavsdiy,25.0,
10,LpBanoit,19.5,http://www.speedrun.com/static/user/e8eg4qox/image?v=1b30037
11,ArcticMoosee,14.0,
12,zDebt,14.0,http://www.speedrun.com/static/user/8qn3e7q8/image?v=8c77f4c
13,hadesriah,12.0,
14,Tots,11.5,http://www.speedrun.com/static/user/81pr4g58/image?v=7680089
15,Thecatinthelemon,10.0,http://www.speedrun.com/static/user/xkp55o9j/image?v=04ab248
16,Qurin,10.0,http://www.speedrun.com/static/user/dx3o1p6x/image?v=47c0b3c
17,uLeFTx,9.5,http://www.speedrun.com/static/user/qjo69e7j/image?v=790aa2a
18,Hrimgrimnir,1.5,http://www.speedrun.com/static/user/qj2erzoj/image?v=2713ddf
19,speedyalexzo,1.5,http://www.speedrun.com/static/user/8649ezwj/image?v=7779422
20,Leoninrus_Emligan,1.5,http://www.speedrun.com/static/user/814rnrl8/image?v=31146e2
21,t_d_pagey,1.5,
22,enbyzee,0.75,
23,bitrot,0.75,http://www.speedrun.com/static/user/x3py2g28/image?v=439d987
24,game_fuchs,0.75,http://www.speedrun.com/static/user/8vovqqyx/image?v=a6982c8
25,Notnarista,0.75,
26,Sans128,0.75,
